Variable,Data Type,Missing Values,Unique Values,Missing Percent
Brnd_Name,str,0,3508,0.0
Gnrc_Name,str,0,1982,0.0
Tot_Mftr,int64,0,36,0.0
Mftr_Name,str,0,969,0.0
Tot_Spndng_2020,float64,4233,8303,29.12
Tot_Dsg_Unts_2020,float64,4233,8194,29.12
Tot_Clms_2020,float64,4233,6544,29.12
Tot_Benes_2020,float64,4314,5770,29.68
Avg_Spnd_Per_Dsg_Unt_Wghtd_2020,float64,4233,8305,29.12
Avg_Spnd_Per_Clm_2020,float64,4233,8305,29.12
Avg_Spnd_Per_Bene_2020,float64,4445,8308,30.58
Outlier_Flag_2020,float64,4236,2,29.14
Tot_Spndng_2021,float64,3338,9084,22.96
Tot_Dsg_Unts_2021,float64,3338,8940,22.96
Tot_Clms_2021,float64,3338,6929,22.96
Tot_Benes_2021,float64,3534,6031,24.31
Avg_Spnd_Per_Dsg_Unt_Wghtd_2021,float64,3338,9084,22.96
Avg_Spnd_Per_Clm_2021,float64,3338,9084,22.96
Avg_Spnd_Per_Bene_2021,float64,3601,9061,24.77
Outlier_Flag_2021,float64,3341,2,22.98
Tot_Spndng_2022,float64,2414,9889,16.61
Tot_Dsg_Unts_2022,float64,2414,9667,16.61
Tot_Clms_2022,float64,2414,7285,16.61
Tot_Benes_2022,float64,2705,6274,18.61
Avg_Spnd_Per_Dsg_Unt_Wghtd_2022,float64,2414,9890,16.61
Avg_Spnd_Per_Clm_2022,float64,2414,9890,16.61
Avg_Spnd_Per_Bene_2022,float64,2738,9787,18.84
Outlier_Flag_2022,float64,2422,2,16.66
Tot_Spndng_2023,float64,1290,10880,8.87
Tot_Dsg_Unts_2023,float64,1290,10591,8.87
Tot_Clms_2023,float64,1290,7613,8.87
Tot_Benes_2023,float64,1703,6542,11.72
Avg_Spnd_Per_Dsg_Unt_Wghtd_2023,float64,1290,10881,8.87
Avg_Spnd_Per_Clm_2023,float64,1290,10881,8.87
Avg_Spnd_Per_Bene_2023,float64,1709,10655,11.76
Outlier_Flag_2023,float64,1295,2,8.91
Tot_Spndng_2024,float64,0,12071,0.0
Tot_Dsg_Unts_2024,float64,0,11455,0.0
Tot_Clms_2024,int64,0,7862,0.0
Tot_Benes_2024,float64,782,6680,5.38
Avg_Spnd_Per_Dsg_Unt_Wghtd_2024,float64,0,12074,0.0
Avg_Spnd_Per_Clm_2024,float64,0,12073,0.0
Avg_Spnd_Per_Bene_2024,float64,782,11488,5.38
Outlier_Flag_2024,float64,18,2,0.12
Chg_Avg_Spnd_Per_Dsg_Unt_23_24,float64,1290,10992,8.87
CAGR_Avg_Spnd_Per_Dsg_Unt_20_24,float64,1160,11100,7.98
